,code,exchange,orderid,direction,type,offset,price,volume,traded,status,datetime
0,rb2210,SHFE,0_0_          41,多,限价,开,4981.0,1,0,已撤销,2022-04-08 21:00:09
1,rb2210,SHFE,0_0_          82,多,限价,开,4980.0,1,0,已撤销,2022-04-08 21:00:10
2,rb2210,SHFE,0_0_         151,多,限价,开,4980.0,1,0,已撤销,2022-04-08 21:00:12
3,rb2210,SHFE,0_0_         154,多,限价,开,4980.0,1,0,已撤销,2022-04-08 21:00:12
4,rb2210,SHFE,0_0_         195,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:13
5,rb2210,SHFE,0_0_         197,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:13
6,rb2210,SHFE,0_0_         219,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:14
7,rb2210,SHFE,0_0_         221,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:14
8,rb2210,SHFE,0_0_         251,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:15
9,rb2210,SHFE,0_0_         274,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:16
10,rb2210,SHFE,0_0_         292,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:17
11,rb2210,SHFE,0_0_         295,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:17
12,rb2210,SHFE,0_0_         311,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:18
13,rb2210,SHFE,0_0_         379,多,限价,开,4979.0,1,0,已撤销,2022-04-08 21:00:21
14,rb2210,SHFE,0_0_         408,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:22
15,rb2210,SHFE,0_0_         411,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:22
16,rb2210,SHFE,0_0_         433,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:23
17,rb2210,SHFE,0_0_         450,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:24
18,rb2210,SHFE,0_0_         465,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:25
19,rb2210,SHFE,0_0_         479,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:26
20,rb2210,SHFE,0_0_         481,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:26
21,rb2210,SHFE,0_0_         502,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:27
22,rb2210,SHFE,0_0_         503,多,限价,开,4977.0,1,0,已撤销,2022-04-08 21:00:27
23,rb2210,SHFE,0_0_         521,多,限价,开,4976.0,1,0,已撤销,2022-04-08 21:00:28
24,rb2210,SHFE,0_0_         526,多,限价,开,4976.0,1,0,已撤销,2022-04-08 21:00:28
25,rb2210,SHFE,0_0_         527,多,限价,开,4976.0,1,0,已撤销,2022-04-08 21:00:28
26,rb2210,SHFE,0_0_         538,多,限价,开,4976.0,1,0,已撤销,2022-04-08 21:00:29
27,rb2210,SHFE,0_0_         539,多,限价,开,4976.0,1,0,已撤销,2022-04-08 21:00:29
28,rb2210,SHFE,0_0_         547,多,限价,开,5009.0,3,3,全部成交,2022-04-08 21:00:30
29,rb2210,SHFE,0_0_         548,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:30
30,rb2210,SHFE,0_0_         566,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:31
31,rb2210,SHFE,0_0_         571,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:31
32,rb2210,SHFE,0_0_         581,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:32
33,rb2210,SHFE,0_0_         594,多,限价,开,5009.0,1,1,全部成交,2022-04-08 21:00:33
34,rb2210,SHFE,0_0_         604,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:33
35,rb2210,SHFE,0_0_         620,多,限价,开,4979.0,1,0,已撤销,2022-04-08 21:00:34
36,rb2210,SHFE,0_0_         622,多,限价,开,4979.0,1,0,已撤销,2022-04-08 21:00:34
37,rb2210,SHFE,0_0_         623,多,限价,开,4979.0,1,0,已撤销,2022-04-08 21:00:34
38,rb2210,SHFE,0_0_         625,空,限价,平今,5009.0,3,3,全部成交,2022-04-08 21:00:35
39,rb2210,SHFE,0_0_         639,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:35
40,rb2210,SHFE,0_0_         640,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:35
41,rb2210,SHFE,0_0_         653,多,限价,开,5009.0,3,3,全部成交,2022-04-08 21:00:36
42,rb2210,SHFE,0_0_         660,多,限价,开,4978.0,1,0,已撤销,2022-04-08 21:00:36
