,code,exchange,orderid,tradeid,direction,offset,price,volume,datetime
0,rb2210,SHFE,0_0_      158504,      407777,多,开,5118.0,1,2022-04-06 21:19:49
1,rb2210,SHFE,0_0_      158504,      407778,多,开,5118.0,1,2022-04-06 21:19:49
2,rb2210,SHFE,0_0_      158598,      408159,多,开,5118.0,1,2022-04-06 21:19:52
3,rb2210,SHFE,0_0_      158598,      408169,多,开,5118.0,1,2022-04-06 21:19:52
4,rb2210,SHFE,0_0_      159190,      408573,多,开,5118.0,1,2022-04-06 21:19:55
5,rb2210,SHFE,0_0_      161916,      412334,空,平今,5116.0,3,2022-04-06 21:20:10
6,rb2210,SHFE,0_0_      190172,      446435,多,开,5115.0,1,2022-04-06 21:23:06
7,rb2210,SHFE,0_0_      180724,      448212,多,开,5112.0,2,2022-04-06 21:23:16
8,rb2210,SHFE,0_0_      180724,      448238,多,开,5112.0,1,2022-04-06 21:23:16
9,rb2210,SHFE,0_0_      180724,      448341,多,开,5112.0,1,2022-04-06 21:23:17
10,rb2210,SHFE,0_0_      191757,      449592,空,平今,5112.0,2,2022-04-06 21:23:23
11,rb2210,SHFE,0_0_      191757,      449616,空,平今,5112.0,1,2022-04-06 21:23:23
12,rb2210,SHFE,0_0_      191757,      449630,空,平今,5112.0,1,2022-04-06 21:23:23
13,rb2210,SHFE,0_0_      192179,      449795,多,开,5111.0,4,2022-04-06 21:23:25
14,rb2210,SHFE,0_0_      192587,      450268,空,平今,5111.0,1,2022-04-06 21:23:28
15,rb2210,SHFE,0_0_      206862,      468514,空,平今,5108.0,2,2022-04-06 21:25:01
16,rb2210,SHFE,0_0_      236495,      503363,空,平今,5112.0,2,2022-04-06 21:27:57
17,rb2210,SHFE,0_0_      236495,      503380,空,平今,5112.0,1,2022-04-06 21:27:57
18,rb2210,SHFE,0_0_      250275,      515756,多,开,5116.0,1,2022-04-06 21:29:18
19,rb2210,SHFE,0_0_      251026,      516541,多,开,5116.0,2,2022-04-06 21:29:25
20,rb2210,SHFE,0_0_      251878,      517145,空,平今,5117.0,1,2022-04-06 21:29:30
21,rb2210,SHFE,0_0_      252270,      517418,空,平今,5117.0,2,2022-04-06 21:29:33
22,rb2210,SHFE,0_0_      261172,      528551,多,开,5121.0,1,2022-04-06 21:30:19
23,rb2210,SHFE,0_0_      261172,      528560,多,开,5121.0,3,2022-04-06 21:30:19
24,rb2210,SHFE,0_0_      262081,      530037,空,平今,5123.0,1,2022-04-06 21:30:24
25,rb2210,SHFE,0_0_      262243,      530165,多,开,5122.0,1,2022-04-06 21:30:24
26,rb2210,SHFE,0_0_      262326,      530578,空,平今,5123.0,1,2022-04-06 21:30:26
27,rb2210,SHFE,0_0_      262624,      530710,多,开,5122.0,4,2022-04-06 21:30:27
28,rb2210,SHFE,0_0_      262825,      531151,空,平今,5123.0,1,2022-04-06 21:30:29
29,rb2210,SHFE,0_0_      262825,      531152,空,平今,5123.0,1,2022-04-06 21:30:29
30,rb2210,SHFE,0_0_      262825,      531153,空,平今,5123.0,1,2022-04-06 21:30:29
31,rb2210,SHFE,0_0_      262825,      531154,空,平今,5123.0,1,2022-04-06 21:30:29
32,rb2210,SHFE,0_0_      263244,      531271,多,开,5122.000000000001,1,2022-04-06 21:30:30
33,rb2210,SHFE,0_0_      263244,      531272,多,开,5122.000000000001,1,2022-04-06 21:30:30
34,rb2210,SHFE,0_0_      263244,      531273,多,开,5122.000000000001,1,2022-04-06 21:30:30
35,rb2210,SHFE,0_0_      263244,      531274,多,开,5122.000000000001,1,2022-04-06 21:30:30
36,rb2210,SHFE,0_0_      264026,      532241,空,平今,5123.000000000001,1,2022-04-06 21:30:34
37,rb2210,SHFE,0_0_      264026,      532244,空,平今,5123.000000000001,1,2022-04-06 21:30:34
38,rb2210,SHFE,0_0_      309780,      578822,空,开,5118.0,1,2022-04-06 21:35:17
39,rb2210,SHFE,0_0_      309780,      578835,空,开,5118.0,1,2022-04-06 21:35:17
40,rb2210,SHFE,0_0_      309780,      578915,空,开,5118.0,1,2022-04-06 21:35:17
41,rb2210,SHFE,0_0_      309780,      578919,空,开,5118.0,1,2022-04-06 21:35:17
42,rb2210,SHFE,0_0_      309780,      578921,空,开,5118.0,1,2022-04-06 21:35:17
43,rb2210,SHFE,0_0_      309780,      578935,空,开,5118.0,1,2022-04-06 21:35:17
44,rb2210,SHFE,0_0_      270964,      583085,空,平今,5121.0,1,2022-04-06 21:35:44
45,rb2210,SHFE,0_0_      330092,      601934,多,平今,5118.0,1,2022-04-06 21:37:25
46,rb2210,SHFE,0_0_      330092,      602295,多,平今,5118.0,1,2022-04-06 21:37:26
47,rb2210,SHFE,0_0_      331207,      602671,空,平今,5119.0,2,2022-04-06 21:37:29
48,rb2210,SHFE,0_0_      373709,      644678,空,平今,5115.0,2,2022-04-06 21:42:15
49,rb2210,SHFE,0_0_      379853,      652386,多,平今,5113.0,4,2022-04-06 21:42:56
50,rb2210,SHFE,0_0_      380754,      654185,空,开,5114.0,4,2022-04-06 21:43:06
51,rb2210,SHFE,0_0_      374391,      661942,空,开,5115.0,3,2022-04-06 21:43:52
52,rb2210,SHFE,0_0_      374391,      661943,空,开,5115.0,1,2022-04-06 21:43:52
53,rb2210,SHFE,0_0_      394061,      672176,多,平今,5109.0,1,2022-04-06 21:44:39
54,rb2210,SHFE,0_0_      395099,      673239,空,平今,5110.0,1,2022-04-06 21:44:44
55,rb2210,SHFE,0_0_      395317,      673883,多,平今,5109.0,2,2022-04-06 21:44:47
56,rb2210,SHFE,0_0_      395612,      676017,空,开,5110.0,2,2022-04-06 21:44:56
57,rb2210,SHFE,0_0_      396878,      676997,多,平今,5110.0,1,2022-04-06 21:45:00
58,rb2210,SHFE,0_0_      397200,      677697,空,开,5111.0,1,2022-04-06 21:45:02
59,rb2210,SHFE,0_0_      400124,      681674,多,开,5117.0,4,2022-04-06 21:45:15
60,rb2210,SHFE,0_0_      400256,      685487,多,开,5118.0,1,2022-04-06 21:45:29
61,rb2210,SHFE,0_0_      400256,      685586,多,开,5118.0,1,2022-04-06 21:45:30
62,rb2210,SHFE,0_0_      400256,      685603,多,开,5118.0,1,2022-04-06 21:45:30
63,rb2210,SHFE,0_0_      400256,      685614,多,开,5118.0,1,2022-04-06 21:45:30
64,rb2210,SHFE,0_0_      402898,      685662,空,平今,5119.0,3,2022-04-06 21:45:30
65,rb2210,SHFE,0_0_      414484,      698284,多,平今,5116.0,1,2022-04-06 21:47:03
66,rb2210,SHFE,0_0_      406219,      701376,空,平今,5119.0,2,2022-04-06 21:47:26
67,rb2210,SHFE,0_0_      406219,      701448,空,平今,5119.0,1,2022-04-06 21:47:27
68,rb2210,SHFE,0_0_      406219,      701490,空,平今,5119.0,1,2022-04-06 21:47:27
69,rb2210,SHFE,0_0_      417775,      702155,多,开,5120.0,4,2022-04-06 21:47:31
70,rb2210,SHFE,0_0_      425117,      713412,多,平今,5128.0,1,2022-04-06 21:48:26
