datetime,open,high,low,close,volume,Contract,TradeDate,PreClose,last_close,RSI_6,RSI_14,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0
2021-01-04 21:15:00,4490.5,4510.5,4482.5,4485.5,33645.0,eg2105,20210105,4503.0,,,,,,,,
2021-01-04 21:30:00,4485.5,4489.5,4466.0,4481.5,19628.0,eg2105,20210105,4503.0,4485.5,,,,,,,
2021-01-04 21:45:00,4481.5,4497.5,4480.5,4493.5,7583.0,eg2105,20210105,4503.0,4481.5,,,,,,,
2021-01-04 22:00:00,4494.5,4506.5,4492.5,4503.5,6652.0,eg2105,20210105,4503.0,4493.5,,,,,,,
2021-01-04 22:15:00,4503.5,4513.5,4496.5,4513.5,6416.0,eg2105,20210105,4503.0,4503.5,,,,,,,
2021-01-04 22:30:00,4513.5,4523.5,4509.5,4511.5,15574.0,eg2105,20210105,4503.0,4513.5,,,,,,,
2021-01-04 22:45:00,4512.0,4512.5,4500.5,4509.5,7903.0,eg2105,20210105,4503.0,4511.5,77.83278922448274,,,,,,
2021-01-04 23:00:00,4509.5,4518.5,4509.5,4518.5,4683.0,eg2105,20210105,4503.0,4509.5,84.7534952608397,,,,,,
2021-01-05 09:15:00,4497.5,4497.5,4467.5,4487.5,26252.0,eg2105,20210105,4503.0,4518.5,37.003055800892774,,,,,,
2021-01-05 09:30:00,4487.5,4492.5,4459.5,4473.5,14388.0,eg2105,20210105,4503.0,4487.5,28.347696248330976,,,,,,
2021-01-05 09:45:00,4474.5,4478.0,4467.5,4469.5,7180.0,eg2105,20210105,4503.0,4473.5,26.243068290450196,,,,,,
2021-01-05 10:00:00,4469.5,4475.5,4455.5,4461.5,11693.0,eg2105,20210105,4503.0,4469.5,22.27416715465218,,,,,,
2021-01-05 10:15:00,4461.5,4461.5,4446.5,4458.5,11650.0,eg2105,20210105,4503.0,4461.5,20.854862843163975,,,,,,
2021-01-05 10:45:00,4458.0,4459.5,4432.5,4434.5,17962.0,eg2105,20210105,4503.0,4458.5,12.939591057808174,,4438.536913761833,4485.857142857143,4533.1773719524535,2.1097519420857487,-0.04265526434478699
2021-01-05 11:00:00,4434.5,4446.5,4426.5,4428.5,16929.0,eg2105,20210105,4503.0,4434.5,11.616868331290712,20.96277256224767,4425.993095360533,4481.785714285715,4537.578333210897,2.4897495097698585,0.02246627499982707
2021-01-05 11:15:00,4428.5,4441.5,4427.5,4431.5,7221.0,eg2105,20210105,4503.0,4428.5,16.724468891520015,23.61829334570963,4416.698069169709,4478.214285714285,4539.730502258862,2.747354754363405,0.12030917749602746
