,code,exchange,orderid,tradeid,direction,offset,price,volume,datetime
0,rb2210,SHFE,0_0_         168,       31515,空,平昨,5069.0,1,2022-04-07 21:00:14
1,rb2210,SHFE,0_0_         168,       31516,空,平昨,5069.0,1,2022-04-07 21:00:14
2,rb2210,SHFE,0_0_         168,       31517,空,平昨,5069.0,2,2022-04-07 21:00:14
3,rb2210,SHFE,0_0_         317,       38289,空,开,5071.0,8,2022-04-07 21:00:21
4,rb2210,SHFE,0_0_         447,       42775,多,平今,5071.0,1,2022-04-07 21:00:26
5,rb2210,SHFE,0_0_         447,       42777,多,平今,5071.0,2,2022-04-07 21:00:26
6,rb2210,SHFE,0_0_         447,       42781,多,平今,5071.0,1,2022-04-07 21:00:26
7,rb2210,SHFE,0_0_         569,       47045,空,开,5074.0,1,2022-04-07 21:00:31
8,rb2210,SHFE,0_0_         569,       47050,空,开,5074.0,3,2022-04-07 21:00:31
9,rb2210,SHFE,0_0_         574,       47104,多,平今,5073.0,2,2022-04-07 21:00:31
10,rb2210,SHFE,0_0_         574,       47107,多,平今,5073.0,1,2022-04-07 21:00:31
11,rb2210,SHFE,0_0_         574,       47140,多,平今,5073.0,1,2022-04-07 21:00:31
12,rb2210,SHFE,0_0_         582,       48368,空,开,5074.0,4,2022-04-07 21:00:33
13,rb2210,SHFE,0_0_         658,       51023,多,平今,5073.0,6,2022-04-07 21:00:38
14,rb2210,SHFE,0_0_         658,       51140,多,平今,5073.0,2,2022-04-07 21:00:38
15,rb2210,SHFE,0_0_         748,       52612,空,开,5075.0,4,2022-04-07 21:00:40
16,rb2210,SHFE,0_0_         793,       52683,多,平今,5074.0,4,2022-04-07 21:00:40
17,rb2210,SHFE,0_0_        1343,       69624,空,开,5069.000000000001,1,2022-04-07 21:01:05
18,rb2210,SHFE,0_0_        1343,       69625,空,开,5069.000000000001,2,2022-04-07 21:01:05
19,rb2210,SHFE,0_0_        1343,       69626,空,开,5069.000000000001,2,2022-04-07 21:01:05
20,rb2210,SHFE,0_0_        1901,       87540,多,开,5075.0,2,2022-04-07 21:01:34
21,rb2210,SHFE,0_0_        1901,       87702,多,开,5075.0,1,2022-04-07 21:01:35
22,rb2210,SHFE,0_0_        1901,       87731,多,开,5075.0,1,2022-04-07 21:01:35
23,rb2210,SHFE,0_0_        1925,       97423,空,平昨,5076.0,1,2022-04-07 21:01:55
24,rb2210,SHFE,0_0_        1925,       97891,空,平昨,5076.0,1,2022-04-07 21:01:56
25,rb2210,SHFE,0_0_        2329,      103100,多,平今,5075.0,1,2022-04-07 21:02:04
26,rb2210,SHFE,0_0_        2593,      103148,空,平今,5076.0,1,2022-04-07 21:02:05
27,rb2210,SHFE,0_0_        3083,      112402,空,平今,5075.0,2,2022-04-07 21:02:21
28,rb2210,SHFE,0_0_        3390,      115386,多,平今,5077.0,1,2022-04-07 21:02:28
29,rb2210,SHFE,0_0_        3391,      131773,空,平今,5078.0,1,2022-04-07 21:03:12
30,rb2210,SHFE,0_0_        4884,      131883,多,平今,5077.0,1,2022-04-07 21:03:12
31,rb2210,SHFE,0_0_        4936,      132208,多,平今,5077.0,1,2022-04-07 21:03:13
32,rb2210,SHFE,0_0_        4941,      132291,空,开,5078.0,1,2022-04-07 21:03:13
33,rb2210,SHFE,0_0_        4952,      143759,多,平今,5077.0,1,2022-04-07 21:03:45
34,rb2210,SHFE,0_0_        6194,      146162,空,开,5078.0,1,2022-04-07 21:03:52
35,rb2210,SHFE,0_0_        6416,      147062,多,平今,5077.0,1,2022-04-07 21:03:54
36,rb2210,SHFE,0_0_        6871,      150254,空,开,5079.0,1,2022-04-07 21:04:03
37,rb2210,SHFE,0_0_        6871,      150255,空,开,5079.0,1,2022-04-07 21:04:03
38,rb2210,SHFE,0_0_        7619,      156564,多,平今,5077.0,3,2022-04-07 21:04:21
39,rb2210,SHFE,0_0_        7806,      156790,空,开,5078.0,1,2022-04-07 21:04:22
40,rb2210,SHFE,0_0_        7806,      156794,空,开,5078.0,1,2022-04-07 21:04:22
41,rb2210,SHFE,0_0_        7806,      156868,空,开,5078.0,1,2022-04-07 21:04:22
42,rb2210,SHFE,0_0_        7894,      158904,多,平今,5077.0,2,2022-04-07 21:04:31
43,rb2210,SHFE,0_0_        8203,      188317,空,开,5078.0,2,2022-04-07 21:05:42
44,rb2210,SHFE,0_0_       18174,      206108,多,开,5076.0,4,2022-04-07 21:06:46
45,rb2210,SHFE,0_0_       19557,      206124,空,开,5077.0,1,2022-04-07 21:06:46
46,rb2210,SHFE,0_0_       19557,      206125,空,开,5077.0,1,2022-04-07 21:06:46
47,rb2210,SHFE,0_0_       19557,      206126,空,开,5077.0,1,2022-04-07 21:06:46
48,rb2210,SHFE,0_0_       19557,      206128,空,开,5077.0,1,2022-04-07 21:06:46
49,rb2210,SHFE,0_0_       19557,      206134,空,开,5077.0,1,2022-04-07 21:06:46
50,rb2210,SHFE,0_0_       19564,      206158,多,平今,5076.0,5,2022-04-07 21:06:46
51,rb2210,SHFE,0_0_       19566,      206514,空,开,5077.0,1,2022-04-07 21:06:47
52,rb2210,SHFE,0_0_       19566,      206522,空,开,5077.0,2,2022-04-07 21:06:47
53,rb2210,SHFE,0_0_       19566,      206533,空,开,5077.0,1,2022-04-07 21:06:47
