,code,exchange,orderid,direction,type,offset,price,volume,traded,status,datetime
0,rb2210,SHFE,0_0_         199,多,限价,开,4843.0,1,0,已撤销,2022-04-11 21:00:09
1,rb2210,SHFE,0_0_         205,多,限价,开,4843.0,1,0,已撤销,2022-04-11 21:00:09
2,rb2210,SHFE,0_0_         256,多,限价,开,4846.0,1,0,已撤销,2022-04-11 21:00:10
3,rb2210,SHFE,0_0_         257,多,限价,开,4846.0,1,0,已撤销,2022-04-11 21:00:10
4,rb2210,SHFE,0_0_         305,多,限价,开,4846.0,1,0,已撤销,2022-04-11 21:00:11
5,rb2210,SHFE,0_0_         309,多,限价,开,4846.0,1,0,已撤销,2022-04-11 21:00:11
6,rb2210,SHFE,0_0_         372,多,限价,开,4845.0,1,0,已撤销,2022-04-11 21:00:12
7,rb2210,SHFE,0_0_         397,多,限价,平昨,4874.0,7,0,已撤销,2022-04-11 21:00:13
8,rb2210,SHFE,0_0_         431,多,限价,开,4843.0,1,0,已撤销,2022-04-11 21:00:13
9,rb2210,SHFE,0_0_         433,多,限价,开,4843.0,1,0,已撤销,2022-04-11 21:00:13
10,rb2210,SHFE,0_0_         434,多,限价,开,4843.0,1,0,已撤销,2022-04-11 21:00:13
11,rb2210,SHFE,0_0_         481,多,限价,开,4846.0,1,0,已撤销,2022-04-11 21:00:14
12,rb2210,SHFE,0_0_         482,多,限价,开,4846.0,1,0,已撤销,2022-04-11 21:00:14
13,rb2210,SHFE,0_0_         483,多,限价,开,4846.0,1,0,已撤销,2022-04-11 21:00:14
14,rb2210,SHFE,0_0_         522,多,限价,开,4877.0,3,0,已撤销,2022-04-11 21:00:15
15,rb2210,SHFE,0_0_        1078,多,限价,开,4857.0,1,0,已撤销,2022-04-11 21:00:33
16,rb2210,SHFE,0_0_        1084,多,限价,开,4857.0,1,0,已撤销,2022-04-11 21:00:33
17,rb2210,SHFE,0_0_        1100,多,限价,平昨,4889.0,2,2,全部成交,2022-04-11 21:00:34
18,rb2210,SHFE,0_0_        1112,多,限价,开,4858.0,1,0,已撤销,2022-04-11 21:00:34
19,rb2210,SHFE,0_0_        1113,多,限价,开,4858.0,1,0,已撤销,2022-04-11 21:00:34
20,rb2210,SHFE,0_0_        1117,多,限价,开,4858.0,1,0,已撤销,2022-04-11 21:00:34
21,rb2210,SHFE,0_0_        1127,多,限价,平昨,4889.0,5,5,全部成交,2022-04-11 21:00:35
22,rb2210,SHFE,0_0_        1161,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:00:35
23,rb2210,SHFE,0_0_        1162,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:00:35
24,rb2210,SHFE,0_0_        1163,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:00:35
25,rb2210,SHFE,0_0_        1207,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:00:36
26,rb2210,SHFE,0_0_        1212,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:00:36
27,rb2210,SHFE,0_0_        1255,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:00:37
28,rb2210,SHFE,0_0_        1256,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:00:37
29,rb2210,SHFE,0_0_        1258,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:00:37
30,rb2210,SHFE,0_0_        1291,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:38
31,rb2210,SHFE,0_0_        1294,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:38
32,rb2210,SHFE,0_0_        1296,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:38
33,rb2210,SHFE,0_0_        1323,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:00:39
34,rb2210,SHFE,0_0_        1365,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:40
35,rb2210,SHFE,0_0_        1367,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:40
36,rb2210,SHFE,0_0_        1457,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:00:42
37,rb2210,SHFE,0_0_        1459,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:00:42
38,rb2210,SHFE,0_0_        1496,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:43
39,rb2210,SHFE,0_0_        1535,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:44
40,rb2210,SHFE,0_0_        1572,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:45
41,rb2210,SHFE,0_0_        1583,空,限价,平昨,4892.0,4,4,全部成交,2022-04-11 21:00:46
42,rb2210,SHFE,0_0_        1587,多,限价,开,4891.0,4,0,已撤销,2022-04-11 21:00:46
43,rb2210,SHFE,0_0_        1615,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:46
44,rb2210,SHFE,0_0_        1618,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:46
45,rb2210,SHFE,0_0_        1619,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:46
46,rb2210,SHFE,0_0_        1642,多,限价,开,4863.0,1,0,已撤销,2022-04-11 21:00:47
47,rb2210,SHFE,0_0_        1646,多,限价,开,4863.0,1,0,已撤销,2022-04-11 21:00:47
48,rb2210,SHFE,0_0_        1648,多,限价,开,4863.0,1,0,已撤销,2022-04-11 21:00:47
49,rb2210,SHFE,0_0_        1677,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:48
50,rb2210,SHFE,0_0_        1679,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:48
51,rb2210,SHFE,0_0_        1691,空,限价,开,4893.0,3,3,全部成交,2022-04-11 21:00:49
52,rb2210,SHFE,0_0_        1755,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:50
53,rb2210,SHFE,0_0_        1761,多,限价,开,4891.0,5,0,已撤销,2022-04-11 21:00:51
