,code,exchange,orderid,tradeid,direction,offset,price,volume,datetime
0,sn2205,SHFE,0_0_     1015928,     1419118,多,开,343500.0,1,2022-03-31 23:37:58
1,sn2205,SHFE,0_0_     1016936,     1420375,空,平今,343440.0,1,2022-03-31 23:38:29
2,sn2205,SHFE,0_0_     1021314,     1423107,多,开,343260.0,1,2022-03-31 23:40:28
3,sn2205,SHFE,0_0_     1196658,     1643524,空,平今,343770.0,1,2022-04-01 09:02:51
4,sn2205,SHFE,0_0_     1469215,     2013437,多,开,344400.0,1,2022-04-01 09:40:08
5,sn2205,SHFE,0_0_     1542953,     2097116,空,平今,344800.0,1,2022-04-01 09:51:39
6,sn2205,SHFE,0_0_     1545163,     2099064,多,开,344740.0,1,2022-04-01 09:52:01
7,sn2205,SHFE,0_0_     1596944,     2179899,空,平今,344860.0,1,2022-04-01 10:00:11
8,sn2205,SHFE,0_0_     1687702,     2336126,空,开,344390.0,1,2022-04-01 10:32:31
9,sn2205,SHFE,0_0_     1687875,     2336419,多,平今,344560.0,1,2022-04-01 10:32:33
10,sn2205,SHFE,0_0_     1695173,     2346409,空,开,344330.0,1,2022-04-01 10:33:36
11,sn2205,SHFE,0_0_     1696640,     2348003,多,平今,344310.0,1,2022-04-01 10:33:49
12,sn2205,SHFE,0_0_     1697013,     2348426,空,开,344280.0,1,2022-04-01 10:33:54
13,sn2205,SHFE,0_0_     1698356,     2350713,多,平今,343930.0,1,2022-04-01 10:34:10
14,sn2205,SHFE,0_0_     1809753,     2465948,多,开,343330.0,1,2022-04-01 10:53:02
15,sn2205,SHFE,0_0_     1876260,     2530228,空,平今,343630.0,1,2022-04-01 11:03:43
16,sn2205,SHFE,0_0_     1916678,     2569769,多,开,343030.0,1,2022-04-01 11:10:11
17,sn2205,SHFE,0_0_     2023428,     2659058,空,平今,343790.0,1,2022-04-01 11:29:03
18,sn2205,SHFE,0_0_     2086050,     2776490,空,开,342000.0,1,2022-04-01 13:40:17
19,sn2205,SHFE,0_0_     2219218,     2927656,多,平今,341000.0,1,2022-04-01 13:59:57
20,sn2205,SHFE,0_0_     2252246,     2970075,多,开,341100.00000000006,1,2022-04-01 14:04:54
21,sn2205,SHFE,0_0_     2269847,     2999287,空,平今,341090.0,1,2022-04-01 14:07:57
22,sn2205,SHFE,0_0_     2321301,     3059556,多,开,340050.0,1,2022-04-01 14:16:38
23,sn2205,SHFE,0_0_     2335387,     3077532,空,平今,340100.0,1,2022-04-01 14:20:16
24,sn2205,SHFE,0_0_     2339911,     3082292,空,开,340100.0,1,2022-04-01 14:20:58
25,sn2205,SHFE,0_0_     2340462,     3082427,多,平今,340040.0,1,2022-04-01 14:20:59
26,sn2205,SHFE,0_0_     2351200,     3096019,空,开,340050.0,1,2022-04-01 14:23:09
27,sn2205,SHFE,0_0_     2366702,     3112014,多,平今,340110.00000000006,1,2022-04-01 14:25:29
28,sn2205,SHFE,0_0_     2366813,     3112151,空,开,340200.0,1,2022-04-01 14:25:30
29,sn2205,SHFE,0_0_     2366988,     3112397,多,平今,340140.0,1,2022-04-01 14:25:34
30,sn2205,SHFE,0_0_     2509017,     3302180,多,开,338280.0,1,2022-04-01 14:50:36
31,sn2205,SHFE,0_0_     2511173,     3305421,空,平今,338780.0,1,2022-04-01 14:50:53
32,sn2205,SHFE,0_0_     2511257,     3305697,多,开,338560.0,1,2022-04-01 14:50:54
33,sn2205,SHFE,0_0_     2523205,     3322895,空,平今,339080.0,1,2022-04-01 14:52:44
34,sn2205,SHFE,0_0_     2537945,     3387432,多,开,340360.0,1,2022-04-01 14:58:41
