,code,exchange,orderid,tradeid,direction,offset,price,volume,datetime
0,rb2210,SHFE,0_0_      158008,      407369,空,开,5118.0,3,2022-04-06 21:19:47
1,rb2210,SHFE,0_0_      158336,      407776,多,平今,5118.0,3,2022-04-06 21:19:49
2,rb2210,SHFE,0_0_      161919,      412336,空,开,5116.0,4,2022-04-06 21:20:10
3,rb2210,SHFE,0_0_      161919,      412355,空,开,5116.0,4,2022-04-06 21:20:10
4,rb2210,SHFE,0_0_      167463,      417517,多,平今,5118.0,1,2022-04-06 21:20:39
5,rb2210,SHFE,0_0_      167578,      417716,多,平今,5118.0,1,2022-04-06 21:20:40
6,rb2210,SHFE,0_0_      168001,      418416,多,平今,5118.0,1,2022-04-06 21:20:45
7,rb2210,SHFE,0_0_      168845,      419479,空,开,5119.0,1,2022-04-06 21:20:50
8,rb2210,SHFE,0_0_      175939,      428063,多,平今,5113.0,2,2022-04-06 21:21:31
9,rb2210,SHFE,0_0_      175939,      428102,多,平今,5113.0,1,2022-04-06 21:21:31
10,rb2210,SHFE,0_0_      203114,      463727,多,开,5110.0,4,2022-04-06 21:24:42
11,rb2210,SHFE,0_0_      203206,      473244,空,平今,5111.0,1,2022-04-06 21:25:16
12,rb2210,SHFE,0_0_      203206,      473756,空,平今,5111.0,3,2022-04-06 21:25:19
13,rb2210,SHFE,0_0_      211010,      473787,多,平今,5110.0,3,2022-04-06 21:25:19
14,rb2210,SHFE,0_0_      231590,      497995,多,开,5109.0,1,2022-04-06 21:27:21
15,rb2210,SHFE,0_0_      233033,      499166,多,开,5110.0,1,2022-04-06 21:27:30
16,rb2210,SHFE,0_0_      189992,      506586,空,开,5116.0,3,2022-04-06 21:28:18
17,rb2210,SHFE,0_0_      270092,      539083,空,平今,5121.0,1,2022-04-06 21:31:09
18,rb2210,SHFE,0_0_      270112,      539332,多,平今,5120.0,1,2022-04-06 21:31:11
19,rb2210,SHFE,0_0_      293328,      561904,空,开,5119.0,3,2022-04-06 21:33:39
20,rb2210,SHFE,0_0_      298565,      566178,多,平今,5116.0,1,2022-04-06 21:34:10
21,rb2210,SHFE,0_0_      249220,      566466,多,开,5115.0,3,2022-04-06 21:34:11
22,rb2210,SHFE,0_0_      249220,      566467,多,开,5115.0,1,2022-04-06 21:34:11
23,rb2210,SHFE,0_0_      299548,      567053,空,平今,5116.0,2,2022-04-06 21:34:16
24,rb2210,SHFE,0_0_      299548,      567068,空,平今,5116.0,1,2022-04-06 21:34:16
25,rb2210,SHFE,0_0_      299548,      567089,空,平今,5116.0,1,2022-04-06 21:34:17
26,rb2210,SHFE,0_0_      299412,      568785,空,开,5117.0,1,2022-04-06 21:34:24
27,rb2210,SHFE,0_0_      306445,      575677,多,平今,5117.0,1,2022-04-06 21:35:05
28,rb2210,SHFE,0_0_      311080,      581782,多,平今,5119.0,1,2022-04-06 21:35:35
29,rb2210,SHFE,0_0_      270267,      582998,空,平今,5121.0,1,2022-04-06 21:35:44
30,rb2210,SHFE,0_0_      313758,      583107,多,平今,5120.0,1,2022-04-06 21:35:44
31,rb2210,SHFE,0_0_      314984,      584662,空,开,5120.0,1,2022-04-06 21:35:55
32,rb2210,SHFE,0_0_      314984,      584665,空,开,5120.0,4,2022-04-06 21:35:55
33,rb2210,SHFE,0_0_      314984,      584673,空,开,5120.0,1,2022-04-06 21:35:55
34,rb2210,SHFE,0_0_      358231,      628661,多,平今,5111.0,1,2022-04-06 21:40:36
35,rb2210,SHFE,0_0_      361668,      632648,多,平今,5112.0,1,2022-04-06 21:41:00
36,rb2210,SHFE,0_0_      361668,      632679,多,平今,5112.0,1,2022-04-06 21:41:00
37,rb2210,SHFE,0_0_      361668,      632820,多,平今,5112.0,1,2022-04-06 21:41:01
38,rb2210,SHFE,0_0_      361668,      632856,多,平今,5112.0,1,2022-04-06 21:41:02
39,rb2210,SHFE,0_0_      361668,      632966,多,平今,5112.0,1,2022-04-06 21:41:02
40,rb2210,SHFE,0_0_      361668,      633052,多,平今,5112.0,1,2022-04-06 21:41:02
41,rb2210,SHFE,0_0_      373411,      644036,多,开,5114.0,5,2022-04-06 21:42:10
42,rb2210,SHFE,0_0_      373584,      644673,空,平今,5115.0,4,2022-04-06 21:42:15
43,rb2210,SHFE,0_0_      377635,      649361,多,开,5113.0,4,2022-04-06 21:42:39
44,rb2210,SHFE,0_0_      379087,      651222,多,平今,5113.0,1,2022-04-06 21:42:49
45,rb2210,SHFE,0_0_      393970,      671396,多,开,5109.0,3,2022-04-06 21:44:35
46,rb2210,SHFE,0_0_      394608,      672699,空,平今,5110.0,2,2022-04-06 21:44:41
47,rb2210,SHFE,0_0_      395053,      673109,空,平今,5110.0,1,2022-04-06 21:44:43
48,rb2210,SHFE,0_0_      395053,      673117,空,平今,5110.0,2,2022-04-06 21:44:43
49,rb2210,SHFE,0_0_      395278,      673882,多,开,5109.0,1,2022-04-06 21:44:47
50,rb2210,SHFE,0_0_      395599,      673934,空,平今,5110.0,1,2022-04-06 21:44:48
51,rb2210,SHFE,0_0_      395599,      673940,空,平今,5110.0,1,2022-04-06 21:44:48
52,rb2210,SHFE,0_0_      395599,      673942,空,平今,5110.0,1,2022-04-06 21:44:48
53,rb2210,SHFE,0_0_      399610,      680999,空,开,5117.0,8,2022-04-06 21:45:13
54,rb2210,SHFE,0_0_      399908,      681238,多,平今,5117.0,5,2022-04-06 21:45:14
55,rb2210,SHFE,0_0_      399908,      681239,多,平今,5117.0,1,2022-04-06 21:45:14
56,rb2210,SHFE,0_0_      399908,      681240,多,平今,5118.0,1,2022-04-06 21:45:14
57,rb2210,SHFE,0_0_      399967,      681588,多,开,5117.0,4,2022-04-06 21:45:15
58,rb2210,SHFE,0_0_      400259,      682189,多,开,5119.0,2,2022-04-06 21:45:16
59,rb2210,SHFE,0_0_      401185,      683448,多,平今,5120.0,1,2022-04-06 21:45:21
60,rb2210,SHFE,0_0_      412119,      696390,空,平今,5117.0,1,2022-04-06 21:46:47
61,rb2210,SHFE,0_0_      412119,      696402,空,平今,5117.0,1,2022-04-06 21:46:47
62,rb2210,SHFE,0_0_      412119,      696406,空,平今,5117.0,1,2022-04-06 21:46:47
63,rb2210,SHFE,0_0_      401260,      701915,空,平今,5121.0,1,2022-04-06 21:47:30
64,rb2210,SHFE,0_0_      417768,      702152,多,开,5120.0,1,2022-04-06 21:47:31
65,rb2210,SHFE,0_0_      418283,      704552,多,开,5120.0,3,2022-04-06 21:47:42
66,rb2210,SHFE,0_0_      419154,      707461,空,平今,5121.0,4,2022-04-06 21:48:01
67,rb2210,SHFE,0_0_      421478,      707594,多,开,5120.0,1,2022-04-06 21:48:02
68,rb2210,SHFE,0_0_      421478,      707598,多,开,5120.0,1,2022-04-06 21:48:02
69,rb2210,SHFE,0_0_      421478,      707674,多,开,5120.0,1,2022-04-06 21:48:02
70,rb2210,SHFE,0_0_      421478,      707708,多,开,5120.0,1,2022-04-06 21:48:03
71,rb2210,SHFE,0_0_      421670,      708136,空,平今,5121.0,1,2022-04-06 21:48:06
72,rb2210,SHFE,0_0_      422886,      709277,多,开,5122.0,1,2022-04-06 21:48:11
73,rb2210,SHFE,0_0_      425877,      714853,空,平今,5131.0,7,2022-04-06 21:48:30
74,rb2210,SHFE,0_0_      427201,      717554,空,开,5132.0,1,2022-04-06 21:48:40
75,rb2210,SHFE,0_0_      427451,      717563,多,平今,5131.0,1,2022-04-06 21:48:40
76,rb2210,SHFE,0_0_      427452,      717621,空,开,5132.0,1,2022-04-06 21:48:41
77,rb2210,SHFE,0_0_      427502,      717661,多,平今,5131.0,1,2022-04-06 21:48:41
78,rb2210,SHFE,0_0_      427524,      717837,空,开,5132.0,1,2022-04-06 21:48:42
79,rb2210,SHFE,0_0_      427690,      717984,多,平今,5131.0,1,2022-04-06 21:48:42
80,rb2210,SHFE,0_0_      427694,      718003,空,开,5132.0,1,2022-04-06 21:48:42
81,rb2210,SHFE,0_0_      427699,      718962,多,平今,5131.0,1,2022-04-06 21:48:47
82,rb2210,SHFE,0_0_      428110,      719091,空,开,5132.0,4,2022-04-06 21:48:47
83,rb2210,SHFE,0_0_      428143,      719195,多,平今,5133.0,4,2022-04-06 21:48:48
84,rb2210,SHFE,0_0_      426128,      721485,多,开,5130.0,1,2022-04-06 21:48:59
85,rb2210,SHFE,0_0_      426128,      721488,多,开,5130.0,1,2022-04-06 21:48:59
86,rb2210,SHFE,0_0_      429733,      721644,空,开,5131.0,3,2022-04-06 21:49:00
87,rb2210,SHFE,0_0_      428169,      723062,空,开,5134.0,4,2022-04-06 21:49:06
88,rb2210,SHFE,0_0_      430675,      723309,多,平今,5133.0,4,2022-04-06 21:49:06
89,rb2210,SHFE,0_0_      430673,      723329,多,开,5132.0,4,2022-04-06 21:49:06
90,rb2210,SHFE,0_0_      430688,      723337,空,平今,5133.0,1,2022-04-06 21:49:06
91,rb2210,SHFE,0_0_      430688,      723339,空,平今,5133.0,3,2022-04-06 21:49:06
92,rb2210,SHFE,0_0_      431391,      725452,多,开,5136.0,1,2022-04-06 21:49:12
93,rb2210,SHFE,0_0_      431701,      726180,空,平今,5137.0,3,2022-04-06 21:49:15
94,rb2210,SHFE,0_0_      431757,      726257,多,平今,5136.000000000001,3,2022-04-06 21:49:15
95,rb2210,SHFE,0_0_      432522,      727264,多,开,5136.0,4,2022-04-06 21:49:20
96,rb2210,SHFE,0_0_      432663,      727798,空,平今,5136.0,1,2022-04-06 21:49:23
97,rb2210,SHFE,0_0_      432992,      728133,空,平今,5136.0,3,2022-04-06 21:49:26
98,rb2210,SHFE,0_0_      430691,      729495,多,开,5132.0,4,2022-04-06 21:49:33
99,rb2210,SHFE,0_0_      433985,      729502,空,平今,5133.0,4,2022-04-06 21:49:34
100,rb2210,SHFE,0_0_      434127,      729872,空,开,5133.000000000001,1,2022-04-06 21:49:36
101,rb2210,SHFE,0_0_      436401,      732112,多,开,5132.0,1,2022-04-06 21:49:55
102,rb2210,SHFE,0_0_      436401,      734405,多,开,5132.0,2,2022-04-06 21:50:04
103,rb2210,SHFE,0_0_      436401,      734407,多,开,5132.0,2,2022-04-06 21:50:04
104,rb2210,SHFE,0_0_      436401,      734408,多,开,5132.0,2,2022-04-06 21:50:04
105,rb2210,SHFE,0_0_      439117,      736554,空,开,5130.0,4,2022-04-06 21:50:12
106,rb2210,SHFE,0_0_      438263,      739572,空,平今,5132.0,4,2022-04-06 21:50:29
107,rb2210,SHFE,0_0_      441600,      739591,多,平今,5131.0,1,2022-04-06 21:50:30
108,rb2210,SHFE,0_0_      441600,      739593,多,平今,5131.0,3,2022-04-06 21:50:30
109,rb2210,SHFE,0_0_      444365,      743251,空,平今,5133.0,1,2022-04-06 21:50:52
110,rb2210,SHFE,0_0_      444365,      743279,空,平今,5133.0,2,2022-04-06 21:50:52
111,rb2210,SHFE,0_0_      433035,      745757,空,开,5137.000000000001,3,2022-04-06 21:51:09
112,rb2210,SHFE,0_0_      446859,      746019,多,平今,5136.0,3,2022-04-06 21:51:10
113,rb2210,SHFE,0_0_      449456,      748087,空,开,5131.0,1,2022-04-06 21:51:23
114,rb2210,SHFE,0_0_      449456,      748089,空,开,5131.0,1,2022-04-06 21:51:23
115,rb2210,SHFE,0_0_      461859,      760080,多,平今,5130.0,1,2022-04-06 21:53:10
116,rb2210,SHFE,0_0_      468565,      800380,多,开,5127.0,2,2022-04-06 21:59:17
117,rb2210,SHFE,0_0_      468565,      800430,多,开,5127.0,1,2022-04-06 21:59:18
118,rb2210,SHFE,0_0_      512821,      815011,空,平今,5133.0,1,2022-04-06 22:00:24
119,rb2210,SHFE,0_0_      520931,      824568,多,开,5130.0,4,2022-04-06 22:01:15
120,rb2210,SHFE,0_0_      535371,      839141,空,平今,5129.0,1,2022-04-06 22:03:08
121,rb2210,SHFE,0_0_      535371,      839167,空,平今,5129.0,1,2022-04-06 22:03:09
122,rb2210,SHFE,0_0_      537866,      843178,多,开,5128.0,4,2022-04-06 22:03:51
123,rb2210,SHFE,0_0_      550494,      854150,空,平今,5127.0,4,2022-04-06 22:05:50
124,rb2210,SHFE,0_0_      552168,      854253,多,开,5127.0,4,2022-04-06 22:05:50
125,rb2210,SHFE,0_0_      564902,      864753,空,平今,5126.0,1,2022-04-06 22:07:53
126,rb2210,SHFE,0_0_      578184,      876063,多,平今,5117.0,2,2022-04-06 22:09:52
127,rb2210,SHFE,0_0_      578399,      876068,空,平今,5118.0,2,2022-04-06 22:09:52
128,rb2210,SHFE,0_0_      593804,      893034,多,开,5132.0,3,2022-04-06 22:12:02
129,rb2210,SHFE,0_0_      596983,      896460,空,平今,5131.0,1,2022-04-06 22:12:33
130,rb2210,SHFE,0_0_      597868,      897002,空,平今,5131.0,1,2022-04-06 22:12:38
131,rb2210,SHFE,0_0_      597868,      897051,空,平今,5131.0,1,2022-04-06 22:12:38
132,rb2210,SHFE,0_0_      597868,      897053,空,平今,5131.0,1,2022-04-06 22:12:38
