,code,exchange,orderid,direction,type,offset,price,volume,traded,status,datetime
0,rb2210,SHFE,0_0_         520,多,限价,平昨,4876.0,4,0,已撤销,2022-04-11 21:00:15
1,rb2210,SHFE,0_0_         861,空,限价,平昨,4883.0,6,0,已撤销,2022-04-11 21:00:25
2,rb2210,SHFE,0_0_        1561,空,限价,平昨,4892.0,1,1,全部成交,2022-04-11 21:00:45
3,rb2210,SHFE,0_0_        1570,多,限价,平昨,4891.0,1,0,已撤销,2022-04-11 21:00:45
4,rb2210,SHFE,0_0_        1571,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:45
5,rb2210,SHFE,0_0_        1616,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:46
6,rb2210,SHFE,0_0_        1644,多,限价,开,4863.0,1,0,已撤销,2022-04-11 21:00:47
7,rb2210,SHFE,0_0_        1680,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:48
8,rb2210,SHFE,0_0_        1750,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:50
9,rb2210,SHFE,0_0_        1804,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:51
10,rb2210,SHFE,0_0_        1853,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:52
11,rb2210,SHFE,0_0_        1864,多,限价,平昨,4892.0,4,4,全部成交,2022-04-11 21:00:53
12,rb2210,SHFE,0_0_        1900,多,限价,开,4862.0,1,0,已撤销,2022-04-11 21:00:53
13,rb2210,SHFE,0_0_        1991,多,限价,开,4861.0,1,0,已撤销,2022-04-11 21:00:55
14,rb2210,SHFE,0_0_        2047,空,限价,平昨,4891.0,2,2,全部成交,2022-04-11 21:00:57
15,rb2210,SHFE,0_0_        2078,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:00:57
16,rb2210,SHFE,0_0_        2112,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:00:58
17,rb2210,SHFE,0_0_        2147,多,限价,开,4890.0,2,2,全部成交,2022-04-11 21:00:59
18,rb2210,SHFE,0_0_        2148,空,限价,平昨,4891.0,2,0,已撤销,2022-04-11 21:00:59
19,rb2210,SHFE,0_0_        2154,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:00:59
20,rb2210,SHFE,0_0_        2194,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:01:00
21,rb2210,SHFE,0_0_        2240,多,限价,开,4860.0,1,0,已撤销,2022-04-11 21:01:01
22,rb2210,SHFE,0_0_        2291,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:01:02
23,rb2210,SHFE,0_0_        2296,多,限价,开,4890.0,1,1,全部成交,2022-04-11 21:01:03
24,rb2210,SHFE,0_0_        2365,空,限价,平昨,4891.0,4,4,全部成交,2022-04-11 21:01:05
25,rb2210,SHFE,0_0_        2381,空,限价,平今,4890.0,3,3,全部成交,2022-04-11 21:01:05
26,rb2210,SHFE,0_0_        2418,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:01:06
27,rb2210,SHFE,0_0_        2443,多,限价,开,4858.0,1,0,已撤销,2022-04-11 21:01:07
28,rb2210,SHFE,0_0_        2445,多,限价,开,4858.0,1,0,已撤销,2022-04-11 21:01:07
29,rb2210,SHFE,0_0_        2466,多,限价,开,4858.0,1,0,已撤销,2022-04-11 21:01:08
30,rb2210,SHFE,0_0_        2467,多,限价,开,4858.0,1,0,已撤销,2022-04-11 21:01:08
31,rb2210,SHFE,0_0_        2494,多,限价,开,4858.0,1,0,已撤销,2022-04-11 21:01:09
32,rb2210,SHFE,0_0_        2523,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:01:10
33,rb2210,SHFE,0_0_        2525,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:01:10
34,rb2210,SHFE,0_0_        2547,多,限价,开,4858.0,1,0,已撤销,2022-04-11 21:01:11
35,rb2210,SHFE,0_0_        2575,多,限价,开,4859.0,1,0,已撤销,2022-04-11 21:01:12
36,rb2210,SHFE,0_0_        2615,多,限价,开,4890.0,4,4,全部成交,2022-04-11 21:01:14
