,code,exchange,orderid,direction,offset,price,volume,datetime
0,rb2210,SHFE,0_0_         229,多,开,4948.0,4,2022-04-13 21:00:12
1,rb2210,SHFE,0_0_         264,空,平今,4948.0,4,2022-04-13 21:00:13
2,rb2210,SHFE,0_0_         424,多,开,4946.0,4,2022-04-13 21:00:27
3,rb2210,SHFE,0_0_         424,多,开,4946.0,1,2022-04-13 21:00:27
4,rb2210,SHFE,0_0_         424,多,开,4946.0,1,2022-04-13 21:00:27
5,rb2210,SHFE,0_0_         424,多,开,4946.0,1,2022-04-13 21:00:27
6,rb2210,SHFE,0_0_         424,多,开,4946.0,1,2022-04-13 21:00:27
7,rb2210,SHFE,0_0_         791,空,平今,4943.0,7,2022-04-13 21:00:32
8,rb2210,SHFE,0_0_         758,空,平今,4944.0,1,2022-04-13 21:00:48
9,rb2210,SHFE,0_0_        1228,多,平昨,4943.0,1,2022-04-13 21:00:48
10,rb2210,SHFE,0_0_        2001,空,开,4939.0,6,2022-04-13 21:01:16
11,rb2210,SHFE,0_0_        2619,多,平昨,4935.0,2,2022-04-13 21:01:42
12,rb2210,SHFE,0_0_        2652,空,开,4936.0,2,2022-04-13 21:01:43
13,rb2210,SHFE,0_0_        2673,多,开,4937.0,8,2022-04-13 21:01:44
14,rb2210,SHFE,0_0_        2945,空,平今,4942.0,8,2022-04-13 21:01:56
15,rb2210,SHFE,0_0_        2979,多,平今,4942.0,4,2022-04-13 21:01:57
16,rb2210,SHFE,0_0_        3007,多,开,4942.0,3,2022-04-13 21:01:58
17,rb2210,SHFE,0_0_        3260,多,平今,4946.0,1,2022-04-13 21:02:08
18,rb2210,SHFE,0_0_        3293,空,平今,4946.0,2,2022-04-13 21:02:10
19,rb2210,SHFE,0_0_        3325,空,平今,4946.0,1,2022-04-13 21:02:11
20,rb2210,SHFE,0_0_        3349,多,平今,4946.0,2,2022-04-13 21:02:12
21,rb2210,SHFE,0_0_        3349,多,平今,4946.0,1,2022-04-13 21:02:12
22,rb2210,SHFE,0_0_        3371,空,开,4947.0,1,2022-04-13 21:02:14
23,rb2210,SHFE,0_0_        3371,空,开,4947.0,1,2022-04-13 21:02:14
24,rb2210,SHFE,0_0_        3371,空,开,4947.0,1,2022-04-13 21:02:14
25,rb2210,SHFE,0_0_        3986,空,开,4950.0,1,2022-04-13 21:02:34
26,rb2210,SHFE,0_0_        4610,多,开,4953.0,7,2022-04-13 21:02:49
27,rb2210,SHFE,0_0_        4743,空,平今,4954.0,4,2022-04-13 21:02:53
28,rb2210,SHFE,0_0_        4873,多,平今,4954.0,1,2022-04-13 21:02:54
29,rb2210,SHFE,0_0_        6287,多,开,4955.0,2,2022-04-13 21:03:23
30,rb2210,SHFE,0_0_        6448,空,平今,4956.0,2,2022-04-13 21:03:26
31,rb2210,SHFE,0_0_        6487,多,平今,4955.0,2,2022-04-13 21:03:27
32,rb2210,SHFE,0_0_        6846,多,开,4955.0,5,2022-04-13 21:03:35
33,rb2210,SHFE,0_0_        6933,空,平今,4955.0,1,2022-04-13 21:03:37
34,rb2210,SHFE,0_0_        7870,多,平今,4953.0,1,2022-04-13 21:03:56
35,rb2210,SHFE,0_0_        9328,空,平今,4957.0,3,2022-04-13 21:04:19
36,rb2210,SHFE,0_0_        8530,多,开,4955.0,1,2022-04-13 21:04:33
37,rb2210,SHFE,0_0_       10413,空,开,4955.0,4,2022-04-13 21:04:34
38,rb2210,SHFE,0_0_       11101,空,平今,4955.0,1,2022-04-13 21:04:47
39,rb2210,SHFE,0_0_       11169,多,平今,4954.0,4,2022-04-13 21:04:48
40,rb2210,SHFE,0_0_       11783,空,开,4955.0,3,2022-04-13 21:04:55
41,rb2210,SHFE,0_0_       15023,空,开,4952.0,4,2022-04-13 21:05:16
42,rb2210,SHFE,0_0_       15430,多,平今,4951.0,4,2022-04-13 21:05:17
43,rb2210,SHFE,0_0_       15654,空,开,4952.0,1,2022-04-13 21:05:17
44,rb2210,SHFE,0_0_       15654,空,开,4952.0,2,2022-04-13 21:05:18
45,rb2210,SHFE,0_0_       15654,空,开,4952.0,1,2022-04-13 21:05:18
46,rb2210,SHFE,0_0_       15702,多,平今,4951.0,3,2022-04-13 21:05:18
47,rb2210,SHFE,0_0_       15773,空,开,4952.0,3,2022-04-13 21:05:24
48,rb2210,SHFE,0_0_       10312,空,平今,4957.0,3,2022-04-13 21:05:37
49,rb2210,SHFE,0_0_       17864,多,平今,4955.0,2,2022-04-13 21:05:39
50,rb2210,SHFE,0_0_       18210,多,开,4955.0,3,2022-04-13 21:05:43
51,rb2210,SHFE,0_0_       18210,多,开,4955.0,1,2022-04-13 21:05:43
52,rb2210,SHFE,0_0_       18393,多,开,4955.0,3,2022-04-13 21:05:44
53,rb2210,SHFE,0_0_       18410,空,平今,4956.0,5,2022-04-13 21:05:46
54,rb2210,SHFE,0_0_       19095,空,平今,4957.0,2,2022-04-13 21:05:57
55,rb2210,SHFE,0_0_       19667,多,平今,4956.0,1,2022-04-13 21:06:02
56,rb2210,SHFE,0_0_       18504,多,开,4955.0,1,2022-04-13 21:06:02
57,rb2210,SHFE,0_0_       18504,多,开,4955.0,4,2022-04-13 21:06:03
58,rb2210,SHFE,0_0_       20202,空,平今,4956.0,1,2022-04-13 21:06:04
59,rb2210,SHFE,0_0_       20202,空,平今,4956.0,1,2022-04-13 21:06:04
60,rb2210,SHFE,0_0_       20202,空,平今,4956.0,2,2022-04-13 21:06:04
61,rb2210,SHFE,0_0_       20202,空,平今,4956.0,1,2022-04-13 21:06:04
62,rb2210,SHFE,0_0_       20360,空,开,4955.0,2,2022-04-13 21:06:05
63,rb2210,SHFE,0_0_       21562,多,平今,4954.0,2,2022-04-13 21:06:15
64,rb2210,SHFE,0_0_       21803,空,开,4955.000000000001,2,2022-04-13 21:06:16
65,rb2210,SHFE,0_0_       21803,空,开,4955.000000000001,1,2022-04-13 21:06:16
66,rb2210,SHFE,0_0_       23180,空,平今,4955.0,1,2022-04-13 21:06:26
67,rb2210,SHFE,0_0_       23921,多,平今,4954.0,1,2022-04-13 21:06:32
68,rb2210,SHFE,0_0_       23921,多,平今,4954.0,1,2022-04-13 21:06:32
69,rb2210,SHFE,0_0_       24224,空,开,4954.0,2,2022-04-13 21:06:33
70,rb2210,SHFE,0_0_       28684,多,开,4953.0,8,2022-04-13 21:07:13
71,rb2210,SHFE,0_0_       35426,多,平今,4960.0,1,2022-04-13 21:07:45
72,rb2210,SHFE,0_0_       36121,多,平今,4962.0,2,2022-04-13 21:07:48
73,rb2210,SHFE,0_0_       41524,空,平今,4961.0,3,2022-04-13 21:08:24
74,rb2210,SHFE,0_0_       42035,空,开,4960.0,3,2022-04-13 21:08:28
75,rb2210,SHFE,0_0_       45712,多,平今,4961.0,3,2022-04-13 21:08:50
76,rb2210,SHFE,0_0_       38159,空,平今,4964.0,4,2022-04-13 21:09:04
77,rb2210,SHFE,0_0_       48368,多,开,4964.0,4,2022-04-13 21:09:05
78,rb2210,SHFE,0_0_       49574,多,平今,4969.0,2,2022-04-13 21:09:12
