,code,exchange,orderid,direction,type,offset,price,volume,traded,status,datetime
0,rb2210,SHFE,0_0_         144,多,限价,开,4914.0,1,0,已撤销,2022-04-13 21:00:09
1,rb2210,SHFE,0_0_         185,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:00:10
2,rb2210,SHFE,0_0_         209,多,限价,开,4916.0,1,0,已撤销,2022-04-13 21:00:11
3,rb2210,SHFE,0_0_         211,多,限价,开,4916.0,1,0,已撤销,2022-04-13 21:00:11
4,rb2210,SHFE,0_0_         213,多,限价,开,4916.0,1,0,已撤销,2022-04-13 21:00:11
5,rb2210,SHFE,0_0_         229,多,限价,开,4948.0,4,4,全部成交,2022-04-13 21:00:12
6,rb2210,SHFE,0_0_         234,多,限价,开,4917.0,1,0,已撤销,2022-04-13 21:00:12
7,rb2210,SHFE,0_0_         236,多,限价,开,4917.0,1,0,已撤销,2022-04-13 21:00:12
8,rb2210,SHFE,0_0_         237,多,限价,开,4917.0,1,0,已撤销,2022-04-13 21:00:12
9,rb2210,SHFE,0_0_         240,多,限价,开,4917.0,1,0,已撤销,2022-04-13 21:00:12
10,rb2210,SHFE,0_0_         264,空,限价,平今,4948.0,4,4,全部成交,2022-04-13 21:00:13
11,rb2210,SHFE,0_0_         269,多,限价,开,4946.0,4,0,已撤销,2022-04-13 21:00:13
12,rb2210,SHFE,0_0_         272,多,限价,开,4917.0,1,0,已撤销,2022-04-13 21:00:13
13,rb2210,SHFE,0_0_         273,多,限价,开,4917.0,1,0,已撤销,2022-04-13 21:00:13
14,rb2210,SHFE,0_0_         276,多,限价,开,4917.0,1,0,已撤销,2022-04-13 21:00:13
15,rb2210,SHFE,0_0_         310,多,限价,开,4918.0,1,0,已撤销,2022-04-13 21:00:14
16,rb2210,SHFE,0_0_         381,多,限价,开,4916.0,1,0,已撤销,2022-04-13 21:00:16
17,rb2210,SHFE,0_0_         383,多,限价,开,4916.0,1,0,已撤销,2022-04-13 21:00:16
18,rb2210,SHFE,0_0_         424,多,限价,开,4946.0,8,8,全部成交,2022-04-13 21:00:18
19,rb2210,SHFE,0_0_         683,多,限价,平昨,4946.0,2,0,已撤销,2022-04-13 21:00:27
20,rb2210,SHFE,0_0_         758,空,限价,平今,4944.0,1,1,全部成交,2022-04-13 21:00:30
21,rb2210,SHFE,0_0_         791,空,限价,平今,4943.0,7,7,全部成交,2022-04-13 21:00:31
22,rb2210,SHFE,0_0_         850,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:00:33
23,rb2210,SHFE,0_0_         876,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:34
24,rb2210,SHFE,0_0_         903,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:35
25,rb2210,SHFE,0_0_         921,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:00:36
26,rb2210,SHFE,0_0_         953,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:37
27,rb2210,SHFE,0_0_         957,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:37
28,rb2210,SHFE,0_0_         978,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:38
29,rb2210,SHFE,0_0_        1004,多,限价,开,4910.0,1,0,已撤销,2022-04-13 21:00:39
30,rb2210,SHFE,0_0_        1030,多,限价,开,4910.0,1,0,已撤销,2022-04-13 21:00:40
31,rb2210,SHFE,0_0_        1048,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:41
32,rb2210,SHFE,0_0_        1078,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:00:42
33,rb2210,SHFE,0_0_        1132,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:44
34,rb2210,SHFE,0_0_        1134,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:44
35,rb2210,SHFE,0_0_        1154,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:45
36,rb2210,SHFE,0_0_        1155,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:45
37,rb2210,SHFE,0_0_        1183,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:46
38,rb2210,SHFE,0_0_        1184,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:46
39,rb2210,SHFE,0_0_        1186,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:46
40,rb2210,SHFE,0_0_        1187,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:46
41,rb2210,SHFE,0_0_        1189,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:46
42,rb2210,SHFE,0_0_        1211,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:47
43,rb2210,SHFE,0_0_        1215,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:47
44,rb2210,SHFE,0_0_        1228,多,限价,平昨,4943.0,1,1,全部成交,2022-04-13 21:00:48
45,rb2210,SHFE,0_0_        1229,空,限价,开,4944.0,1,0,已撤销,2022-04-13 21:00:48
46,rb2210,SHFE,0_0_        1268,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:00:49
47,rb2210,SHFE,0_0_        1291,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:50
48,rb2210,SHFE,0_0_        1295,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:50
49,rb2210,SHFE,0_0_        1296,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:50
50,rb2210,SHFE,0_0_        1324,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:51
51,rb2210,SHFE,0_0_        1326,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:51
52,rb2210,SHFE,0_0_        1349,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:52
53,rb2210,SHFE,0_0_        1376,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:53
54,rb2210,SHFE,0_0_        1377,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:53
55,rb2210,SHFE,0_0_        1430,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:00:55
56,rb2210,SHFE,0_0_        1459,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:00:56
57,rb2210,SHFE,0_0_        1460,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:00:56
58,rb2210,SHFE,0_0_        1462,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:00:56
59,rb2210,SHFE,0_0_        1481,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:57
60,rb2210,SHFE,0_0_        1482,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:57
61,rb2210,SHFE,0_0_        1484,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:00:57
62,rb2210,SHFE,0_0_        1500,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:58
63,rb2210,SHFE,0_0_        1501,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:58
64,rb2210,SHFE,0_0_        1520,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:59
65,rb2210,SHFE,0_0_        1522,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:59
66,rb2210,SHFE,0_0_        1523,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:00:59
67,rb2210,SHFE,0_0_        1544,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:01:00
68,rb2210,SHFE,0_0_        1546,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:01:00
69,rb2210,SHFE,0_0_        1547,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:01:00
70,rb2210,SHFE,0_0_        1548,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:01:00
71,rb2210,SHFE,0_0_        1579,多,限价,开,4910.0,1,0,已撤销,2022-04-13 21:01:01
72,rb2210,SHFE,0_0_        1612,多,限价,开,4910.0,1,0,已撤销,2022-04-13 21:01:02
73,rb2210,SHFE,0_0_        1613,多,限价,开,4910.0,1,0,已撤销,2022-04-13 21:01:02
74,rb2210,SHFE,0_0_        1616,多,限价,开,4910.0,1,0,已撤销,2022-04-13 21:01:02
75,rb2210,SHFE,0_0_        1654,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:01:03
76,rb2210,SHFE,0_0_        1681,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:01:04
77,rb2210,SHFE,0_0_        1683,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:01:04
78,rb2210,SHFE,0_0_        1718,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:01:05
79,rb2210,SHFE,0_0_        1722,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:01:05
80,rb2210,SHFE,0_0_        1729,多,限价,开,4943.0,4,0,已撤销,2022-04-13 21:01:06
81,rb2210,SHFE,0_0_        1752,多,限价,开,4914.0,1,0,已撤销,2022-04-13 21:01:06
82,rb2210,SHFE,0_0_        1753,多,限价,开,4914.0,1,0,已撤销,2022-04-13 21:01:06
83,rb2210,SHFE,0_0_        1755,多,限价,开,4914.0,1,0,已撤销,2022-04-13 21:01:06
84,rb2210,SHFE,0_0_        1784,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:01:07
85,rb2210,SHFE,0_0_        1785,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:01:07
86,rb2210,SHFE,0_0_        1834,多,限价,开,4914.0,1,0,已撤销,2022-04-13 21:01:09
87,rb2210,SHFE,0_0_        1835,多,限价,开,4914.0,1,0,已撤销,2022-04-13 21:01:09
88,rb2210,SHFE,0_0_        1864,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:01:10
89,rb2210,SHFE,0_0_        1867,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:01:10
90,rb2210,SHFE,0_0_        1870,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:01:10
91,rb2210,SHFE,0_0_        1913,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:01:12
92,rb2210,SHFE,0_0_        1916,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:01:12
93,rb2210,SHFE,0_0_        1939,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:01:13
94,rb2210,SHFE,0_0_        1988,多,限价,开,4910.0,1,0,已撤销,2022-04-13 21:01:15
95,rb2210,SHFE,0_0_        2001,空,限价,开,4939.0,6,6,全部成交,2022-04-13 21:01:16
96,rb2210,SHFE,0_0_        2037,多,限价,开,4908.0,1,0,已撤销,2022-04-13 21:01:17
97,rb2210,SHFE,0_0_        2039,多,限价,开,4908.0,1,0,已撤销,2022-04-13 21:01:17
98,rb2210,SHFE,0_0_        2064,多,限价,开,4907.0,1,0,已撤销,2022-04-13 21:01:18
99,rb2210,SHFE,0_0_        2069,多,限价,开,4907.0,1,0,已撤销,2022-04-13 21:01:18
100,rb2210,SHFE,0_0_        2089,多,限价,开,4905.0,1,0,已撤销,2022-04-13 21:01:19
101,rb2210,SHFE,0_0_        2108,多,限价,开,4905.0,1,0,已撤销,2022-04-13 21:01:20
102,rb2210,SHFE,0_0_        2109,多,限价,开,4905.0,1,0,已撤销,2022-04-13 21:01:20
103,rb2210,SHFE,0_0_        2113,多,限价,开,4905.0,1,0,已撤销,2022-04-13 21:01:20
104,rb2210,SHFE,0_0_        2147,多,限价,开,4903.0,1,0,已撤销,2022-04-13 21:01:22
105,rb2210,SHFE,0_0_        2150,多,限价,开,4903.0,1,0,已撤销,2022-04-13 21:01:22
106,rb2210,SHFE,0_0_        2238,多,限价,开,4901.0,1,0,已撤销,2022-04-13 21:01:26
107,rb2210,SHFE,0_0_        2258,多,限价,开,4902.0,1,0,已撤销,2022-04-13 21:01:27
108,rb2210,SHFE,0_0_        2282,多,限价,开,4901.0,1,0,已撤销,2022-04-13 21:01:28
109,rb2210,SHFE,0_0_        2285,多,限价,开,4901.0,1,0,已撤销,2022-04-13 21:01:28
110,rb2210,SHFE,0_0_        2286,多,限价,开,4901.0,1,0,已撤销,2022-04-13 21:01:28
111,rb2210,SHFE,0_0_        2287,多,限价,开,4901.0,1,0,已撤销,2022-04-13 21:01:28
112,rb2210,SHFE,0_0_        2304,多,限价,开,4902.0,1,0,已撤销,2022-04-13 21:01:29
113,rb2210,SHFE,0_0_        2308,多,限价,开,4902.0,1,0,已撤销,2022-04-13 21:01:29
114,rb2210,SHFE,0_0_        2327,多,限价,开,4901.0,1,0,已撤销,2022-04-13 21:01:30
115,rb2210,SHFE,0_0_        2345,多,限价,开,4902.0,1,0,已撤销,2022-04-13 21:01:31
116,rb2210,SHFE,0_0_        2366,多,限价,开,4903.0,1,0,已撤销,2022-04-13 21:01:32
117,rb2210,SHFE,0_0_        2367,多,限价,开,4903.0,1,0,已撤销,2022-04-13 21:01:32
118,rb2210,SHFE,0_0_        2368,多,限价,开,4903.0,1,0,已撤销,2022-04-13 21:01:32
119,rb2210,SHFE,0_0_        2420,多,限价,开,4904.0,1,0,已撤销,2022-04-13 21:01:34
120,rb2210,SHFE,0_0_        2441,多,限价,开,4905.0,1,0,已撤销,2022-04-13 21:01:35
121,rb2210,SHFE,0_0_        2466,多,限价,开,4904.0,1,0,已撤销,2022-04-13 21:01:36
122,rb2210,SHFE,0_0_        2467,多,限价,开,4904.0,1,0,已撤销,2022-04-13 21:01:36
123,rb2210,SHFE,0_0_        2468,多,限价,开,4904.0,1,0,已撤销,2022-04-13 21:01:36
124,rb2210,SHFE,0_0_        2469,多,限价,开,4904.0,1,0,已撤销,2022-04-13 21:01:36
125,rb2210,SHFE,0_0_        2488,多,限价,开,4904.0,1,0,已撤销,2022-04-13 21:01:37
126,rb2210,SHFE,0_0_        2491,多,限价,开,4904.0,1,0,已撤销,2022-04-13 21:01:37
127,rb2210,SHFE,0_0_        2508,多,限价,开,4905.0,1,0,已撤销,2022-04-13 21:01:38
128,rb2210,SHFE,0_0_        2511,多,限价,开,4905.0,1,0,已撤销,2022-04-13 21:01:38
129,rb2210,SHFE,0_0_        2534,多,限价,开,4906.0,1,0,已撤销,2022-04-13 21:01:39
130,rb2210,SHFE,0_0_        2539,多,限价,开,4906.0,1,0,已撤销,2022-04-13 21:01:39
131,rb2210,SHFE,0_0_        2540,多,限价,开,4906.0,1,0,已撤销,2022-04-13 21:01:39
132,rb2210,SHFE,0_0_        2559,多,限价,开,4907.0,1,0,已撤销,2022-04-13 21:01:40
133,rb2210,SHFE,0_0_        2561,多,限价,开,4907.0,1,0,已撤销,2022-04-13 21:01:40
134,rb2210,SHFE,0_0_        2562,多,限价,开,4907.0,1,0,已撤销,2022-04-13 21:01:40
135,rb2210,SHFE,0_0_        2563,多,限价,开,4907.0,1,0,已撤销,2022-04-13 21:01:40
136,rb2210,SHFE,0_0_        2619,多,限价,平昨,4935.0,2,2,全部成交,2022-04-13 21:01:41
137,rb2210,SHFE,0_0_        2627,多,限价,开,4905.0,1,0,已撤销,2022-04-13 21:01:42
138,rb2210,SHFE,0_0_        2652,空,限价,开,4936.0,2,2,全部成交,2022-04-13 21:01:42
139,rb2210,SHFE,0_0_        2660,多,限价,平今,4935.0,2,0,已撤销,2022-04-13 21:01:43
140,rb2210,SHFE,0_0_        2673,多,限价,开,4937.0,8,8,全部成交,2022-04-13 21:01:43
141,rb2210,SHFE,0_0_        2945,空,限价,平今,4942.0,8,8,全部成交,2022-04-13 21:01:55
142,rb2210,SHFE,0_0_        2968,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:01:56
143,rb2210,SHFE,0_0_        2969,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:01:56
144,rb2210,SHFE,0_0_        2972,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:01:56
145,rb2210,SHFE,0_0_        2979,多,限价,平今,4942.0,4,4,全部成交,2022-04-13 21:01:56
146,rb2210,SHFE,0_0_        2990,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:01:57
147,rb2210,SHFE,0_0_        2994,多,限价,开,4912.0,1,0,已撤销,2022-04-13 21:01:57
148,rb2210,SHFE,0_0_        3007,多,限价,开,4942.0,3,3,全部成交,2022-04-13 21:01:58
149,rb2210,SHFE,0_0_        3024,空,限价,开,4943.0,4,0,已撤销,2022-04-13 21:01:58
150,rb2210,SHFE,0_0_        3058,多,限价,开,4911.0,1,0,已撤销,2022-04-13 21:02:00
151,rb2210,SHFE,0_0_        3100,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:02:02
152,rb2210,SHFE,0_0_        3102,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:02:02
153,rb2210,SHFE,0_0_        3106,多,限价,开,4913.0,1,0,已撤销,2022-04-13 21:02:02
154,rb2210,SHFE,0_0_        3130,多,限价,开,4914.0,1,0,已撤销,2022-04-13 21:02:03
155,rb2210,SHFE,0_0_        3149,多,限价,开,4914.0,1,0,已撤销,2022-04-13 21:02:04
156,rb2210,SHFE,0_0_        3177,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:02:05
157,rb2210,SHFE,0_0_        3198,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:02:06
158,rb2210,SHFE,0_0_        3200,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:02:06
159,rb2210,SHFE,0_0_        3225,多,限价,开,4916.0,1,0,已撤销,2022-04-13 21:02:07
160,rb2210,SHFE,0_0_        3229,多,限价,开,4916.0,1,0,已撤销,2022-04-13 21:02:07
161,rb2210,SHFE,0_0_        3260,多,限价,平今,4946.0,1,1,全部成交,2022-04-13 21:02:08
162,rb2210,SHFE,0_0_        3293,空,限价,平今,4946.0,2,2,全部成交,2022-04-13 21:02:10
163,rb2210,SHFE,0_0_        3304,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:02:10
164,rb2210,SHFE,0_0_        3305,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:02:10
165,rb2210,SHFE,0_0_        3307,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:02:10
166,rb2210,SHFE,0_0_        3325,空,限价,平今,4946.0,1,1,全部成交,2022-04-13 21:02:11
167,rb2210,SHFE,0_0_        3329,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:02:11
168,rb2210,SHFE,0_0_        3330,多,限价,开,4915.0,1,0,已撤销,2022-04-13 21:02:11
