,code,exchange,orderid,direction,offset,price,volume,datetime
0,rb2210,SHFE,0_0_         241,空,平昨,5028.0,1,2022-04-12 21:00:12
1,rb2210,SHFE,0_0_         381,多,平昨,5030.0,1,2022-04-12 21:00:17
2,rb2210,SHFE,0_0_         440,空,平昨,5031.0,1,2022-04-12 21:00:19
3,rb2210,SHFE,0_0_         493,多,平昨,5030.0,1,2022-04-12 21:00:19
4,rb2210,SHFE,0_0_         494,空,平昨,5031.0,1,2022-04-12 21:00:19
5,rb2210,SHFE,0_0_         526,多,开,5030.0,1,2022-04-12 21:00:19
6,rb2210,SHFE,0_0_         526,多,开,5030.0,1,2022-04-12 21:00:20
7,rb2210,SHFE,0_0_         526,多,开,5030.0,1,2022-04-12 21:00:20
8,rb2210,SHFE,0_0_         535,空,平昨,5031.0,2,2022-04-12 21:00:20
9,rb2210,SHFE,0_0_         536,多,开,5030.0,1,2022-04-12 21:00:20
10,rb2210,SHFE,0_0_         536,多,开,5030.0,1,2022-04-12 21:00:20
11,rb2210,SHFE,0_0_         564,多,开,5030.0,1,2022-04-12 21:00:21
12,rb2210,SHFE,0_0_         564,多,开,5030.0,1,2022-04-12 21:00:21
13,rb2210,SHFE,0_0_         565,空,平今,5031.0,2,2022-04-12 21:00:21
14,rb2210,SHFE,0_0_         578,多,开,5030.0,2,2022-04-12 21:00:22
15,rb2210,SHFE,0_0_         597,空,平今,5031.0,2,2022-04-12 21:00:22
16,rb2210,SHFE,0_0_         611,多,开,5030.0,2,2022-04-12 21:00:22
17,rb2210,SHFE,0_0_         619,空,平今,5031.0,2,2022-04-12 21:00:22
18,rb2210,SHFE,0_0_         620,多,开,5030.0,2,2022-04-12 21:00:23
19,rb2210,SHFE,0_0_         635,空,开,5031.0,1,2022-04-12 21:00:24
20,rb2210,SHFE,0_0_         635,空,开,5031.0,1,2022-04-12 21:00:24
21,rb2210,SHFE,0_0_         686,空,平今,5029.0,4,2022-04-12 21:00:25
22,rb2210,SHFE,0_0_         635,空,开,5031.0,6,2022-04-12 21:00:25
23,rb2210,SHFE,0_0_         700,多,平今,5029.0,4,2022-04-12 21:00:25
24,rb2210,SHFE,0_0_         807,多,开,5031.0,1,2022-04-12 21:00:29
25,rb2210,SHFE,0_0_         807,多,开,5031.0,1,2022-04-12 21:00:29
26,rb2210,SHFE,0_0_         807,多,开,5031.0,1,2022-04-12 21:00:29
27,rb2210,SHFE,0_0_        1766,空,平今,5025.0,6,2022-04-12 21:01:01
28,rb2210,SHFE,0_0_        2238,多,平今,5020.0,4,2022-04-12 21:01:13
29,rb2210,SHFE,0_0_        2396,多,开,5020.000000000001,2,2022-04-12 21:01:17
30,rb2210,SHFE,0_0_        2400,空,平今,5021.0,2,2022-04-12 21:01:17
31,rb2210,SHFE,0_0_        2415,空,开,5021.0,4,2022-04-12 21:01:18
32,rb2210,SHFE,0_0_        2441,多,平今,5020.0,4,2022-04-12 21:01:18
33,rb2210,SHFE,0_0_        2443,空,开,5021.0,2,2022-04-12 21:01:18
34,rb2210,SHFE,0_0_        2443,空,开,5021.0,1,2022-04-12 21:01:18
35,rb2210,SHFE,0_0_        2443,空,开,5021.0,1,2022-04-12 21:01:18
36,rb2210,SHFE,0_0_        2654,空,开,5020.0,1,2022-04-12 21:01:24
37,rb2210,SHFE,0_0_        2654,空,开,5020.0,1,2022-04-12 21:01:24
38,rb2210,SHFE,0_0_        2670,多,平今,5019.0,2,2022-04-12 21:01:24
39,rb2210,SHFE,0_0_        2687,空,开,5020.0,2,2022-04-12 21:01:24
40,rb2210,SHFE,0_0_        2688,多,平今,5019.0,2,2022-04-12 21:01:24
41,rb2210,SHFE,0_0_        2689,空,开,5020.0,2,2022-04-12 21:01:26
42,rb2210,SHFE,0_0_        2738,多,平今,5019.0,2,2022-04-12 21:01:26
43,rb2210,SHFE,0_0_        2751,空,开,5020.0,2,2022-04-12 21:01:27
44,rb2210,SHFE,0_0_        3184,多,开,5023.0,7,2022-04-12 21:01:41
45,rb2210,SHFE,0_0_        3184,多,开,5023.0,1,2022-04-12 21:01:41
46,rb2210,SHFE,0_0_        2778,多,平今,5019.0,2,2022-04-12 21:02:00
47,rb2210,SHFE,0_0_        3808,空,平今,5020.0,2,2022-04-12 21:02:01
48,rb2210,SHFE,0_0_        3816,空,平今,5020.0,1,2022-04-12 21:02:01
49,rb2210,SHFE,0_0_        3816,空,平今,5020.0,3,2022-04-12 21:02:01
50,rb2210,SHFE,0_0_        4240,空,开,5017.0,1,2022-04-12 21:02:13
51,rb2210,SHFE,0_0_        4240,空,开,5017.0,1,2022-04-12 21:02:13
52,rb2210,SHFE,0_0_        4240,空,开,5017.0,1,2022-04-12 21:02:13
53,rb2210,SHFE,0_0_        4240,空,开,5017.0,1,2022-04-12 21:02:13
54,rb2210,SHFE,0_0_        4333,多,平今,5016.0,2,2022-04-12 21:02:15
55,rb2210,SHFE,0_0_        4360,多,平今,5016.0,2,2022-04-12 21:02:17
56,rb2210,SHFE,0_0_        4431,空,平今,5017.0,2,2022-04-12 21:02:22
57,rb2210,SHFE,0_0_        5562,多,开,5017.0,1,2022-04-12 21:02:41
58,rb2210,SHFE,0_0_        5562,多,开,5017.0,7,2022-04-12 21:02:41
59,rb2210,SHFE,0_0_        5589,空,平今,5018.0,4,2022-04-12 21:02:42
60,rb2210,SHFE,0_0_        6650,空,平今,5018.0,4,2022-04-12 21:02:58
61,rb2210,SHFE,0_0_        4625,多,平今,5016.0,1,2022-04-12 21:03:06
62,rb2210,SHFE,0_0_        4625,多,平今,5016.0,1,2022-04-12 21:03:06
63,rb2210,SHFE,0_0_        7298,空,开,5016.0,4,2022-04-12 21:03:15
64,rb2210,SHFE,0_0_        7788,多,平今,5015.0,1,2022-04-12 21:03:17
65,rb2210,SHFE,0_0_        7788,多,平今,5015.0,1,2022-04-12 21:03:17
66,rb2210,SHFE,0_0_        7788,多,平今,5015.0,1,2022-04-12 21:03:17
67,rb2210,SHFE,0_0_        7788,多,平今,5015.0,1,2022-04-12 21:03:17
68,rb2210,SHFE,0_0_        7932,空,开,5016.0,4,2022-04-12 21:03:17
69,rb2210,SHFE,0_0_        7031,空,开,5018.0,2,2022-04-12 21:03:20
70,rb2210,SHFE,0_0_        8257,多,平今,5017.0,1,2022-04-12 21:03:20
71,rb2210,SHFE,0_0_        8257,多,平今,5017.0,1,2022-04-12 21:03:20
72,rb2210,SHFE,0_0_        8274,多,平今,5016.0,1,2022-04-12 21:03:21
73,rb2210,SHFE,0_0_        8445,多,平今,5017.0,1,2022-04-12 21:03:23
74,rb2210,SHFE,0_0_       10743,多,开,5018.0,1,2022-04-12 21:03:50
